hip,x0,y0,z0,spect
445.0,60.355,1.412,-92.807,A1 VS
447.0,308.319,7.226,47.676,G4V?P
446.0,40.174,0.942,-211.738,K0 III
448.0,181.781,4.261,11.459,K0 III
449.0,97.62,2.292,-64.63,G8 IV
450.0,355.77,8.384,193.573,K7
451.0,217.69,5.135,63.794,G0
439.0,3.449,0.081,-2.634,M2V
452.0,304.562,7.208,120.43,F8
453.0,261.923,6.2,-17.639,K0 III
454.0,207.069,4.916,-53.267,K0 III
456.0,171.135,4.08,-130.419,K0 III
457.0,368.653,8.796,-342.52,M3 III
458.0,266.332,6.359,-35.856,K3 III
459.0,27.606,0.66,-50.284,G5 V
460.0,43.538,1.041,17.794,G5
461.0,80.366,1.923,54.439,F8
462.0,48.875,1.177,-8.284,F6 V
463.0,459.964,11.107,-323.719,G8 III/IV
465.0,139.357,3.384,571.22,K2
466.0,259.779,6.329,346.999,K0
467.0,126.435,3.083,-138.356,G5 V
468.0,105.572,2.578,-192.967,K0 III
469.0,221.792,5.425,-276.534,K3/4 III
470.0,1010.897,24.777,956.292,B1.5IV
471.0,343.911,8.476,-556.781,K5
472.0,201.71,4.984,295.896,K 0 III
473.0,8.028,0.199,8.261,K2
474.0,104.907,2.601,103.011,A0
475.0,24.614,0.612,39.886,G0
476.0,114.062,2.837,27.174,K0
477.0,204.805,5.109,-118.094,A9/F0 V
478.0,402.245,10.037,-166.748,F3/5 V
480.0,264.931,6.614,-72.825,K1 III
482.0,121.846,3.053,39.227,F2
483.0,45.919,1.154,292.37,A0
484.0,429.316,10.804,-153.514,G5 V
485.0,290.01,7.33,312.049,A0
486.0,91.303,2.322,-120.414,F6 V
488.0,46.798,1.195,-119.155,G5/6 V
487.0,19.853,0.507,99.735,G0
490.0,28.958,0.743,-25.858,G0 V
491.0,338.09,8.676,75.147,K0
493.0,35.563,0.918,11.721,F8
492.0,129.601,3.345,-33.366,G0
494.0,27.679,0.715,-71.426,F8 V
495.0,35.676,0.922,11.648,K0...
496.0,241.693,6.271,110.535,K5
497.0,94.957,2.466,111.7,A3
498.0,169.874,4.427,168.393,A3
499.0,249.402,6.512,-351.591,G8 IV/V
500.0,1152.145,30.173,-1310.928,M1/2
501.0,233.035,6.105,-189.701,K3 III
502.0,275.243,7.218,148.111,K5III
503.0,276.334,7.257,81.631,G5
504.0,189.523,5.008,88.071,K 1 III-IV
505.0,890.005,23.525,1799.808,O6F
